AtlantaHawks,33,8,9948,1551,3230,210,581,893,1203,511,1698,904,316,623,220,961,4205,8,0,0
BostonCeltics,29,12,9963,1512,3212,218,602,1011,1339,477,1651,913,341,566,235,900,4253,13,0,0
CharlotteBobcats,32,9,9894,1557,3209,239,635,826,1126,472,1837,989,286,679,228,923,4179,12,0,0
ChicagoBulls,21,20,9893,1382,3177,263,716,1044,1338,427,1700,826,323,596,221,946,4071,16,0,0
ClevelandCavaliers,22,19,9947,1546,3274,224,620,747,982,415,1680,846,267,507,181,922,4063,9,0,0
DallasMavericks,15,26,9998,1414,3185,202,544,884,1179,497,1622,756,277,515,195,932,3914,12,0,0
DenverNuggets,23,18,9947,1554,3360,270,741,753,1019,495,1749,990,309,645,213,909,4131,14,0,0
DetroitPistons,14,27,9893,1475,3227,155,463,621,828,499,1726,767,219,538,155,811,3726,14,0,0
GSWarriors,28,13,9937,1551,3327,253,696,838,1123,470,1823,924,274,599,214,940,4193,17,0,0
HoustonRockets,22,19,9967,1377,3187,264,740,786,1079,457,1713,865,284,518,177,871,3804,10,0,0
IndianaPacers,27,14,9870,1448,3238,185,534,806,1101,473,1742,797,336,519,212,861,3887,23,0,0
LAClippers,21,20,9914,1474,3345,246,718,828,1128,451,1700,874,279,503,187,866,4022,15,0,0
LALakers,23,18,9947,1485,3293,233,669,807,1070,477,1711,850,288,552,190,941,4010,15,0,0
MemphisGrizzlies,22,19,9966,1379,3077,201,600,776,1011,474,1696,854,301,568,251,910,3735,14,0,0
MiamiHeat,20,21,9869,1445,3278,237,689,828,1096,410,1636,876,283,476,161,908,3955,21,0,0
MilwaukeeBucks,26,15,9893,1510,3209,231,690,833,1125,414,1666,955,298,547,243,934,4084,9,0,0
MinnesotaT-wolves,32,9,9916,1457,3262,221,617,772,1034,528,1734,787,279,534,204,842,3907,16,0,0
NJNets,21,20,9897,1368,3104,230,689,843,1161,413,1752,787,288,555,179,918,3809,20,0,0
NOrleansHornets,27,14,9942,1488,3177,277,736,769,1041,434,1726,892,272,566,243,944,4022,13,0,0
NYKnicks,33,8,9897,1443,3146,268,730,982,1276,459,1590,907,353,542,260,1003,4136,20,0,0
OrlandoMagic,31,10,9980,1483,3165,230,599,844,1157,479,1633,886,308,501,210,915,4040,11,0,0
Philadelphia76ers,26,15,9863,1563,3396,238,696,801,1042,522,1811,923,306,572,205,914,4165,12,0,0
PhoenixSuns,18,23,10021,1672,3557,260,724,738,1025,517,1907,876,287,568,147,805,4342,8,0,0
PortlandTrailBlazers,35,6,9841,1546,3326,254,681,748,987,580,1878,911,291,510,222,805,4094,11,0,0
SacramentoKings,24,17,9970,1559,3380,235,680,697,950,476,1751,901,320,551,221,924,4050,9,0,0
SanAntonioSpurs,12,29,9939,1389,3188,143,427,786,1056,448,1684,695,299,551,163,853,3707,22,0,0
SeattleSupersonics,28,13,9922,1663,3371,275,714,826,1108,546,1743,1027,324,567,206,881,4427,10,0,0
TorontoRaptors,29,12,9948,1580,3217,220,655,874,1188,437,1732,981,249,553,186,913,4254,15,0,0
UtahJazz,22,19,9951,1390,3044,228,629,1002,1317,464,1575,829,326,571,254,1042,4010,11,0,0
WashingtonWizards,26,15,9947,1542,3240,258,687,843,1160,485,1757,897,273,634,196,991,4185,18,0,0
