AtlantaHawks,20,21,9887,1464,3187,259,707,707,899,365,1639,836,247,533,170,785,3894,15,0,0
BostonCeltics,23,18,9887,1464,3121,192,535,713,913,312,1623,917,347,543,166,844,3833,26,0,0
CharlotteBobcats,13,28,9924,1396,3151,178,607,747,971,425,1644,796,276,591,169,839,3717,21,0,0
ChicagoBulls,26,15,9977,1510,3287,238,712,725,993,487,1809,875,279,565,192,833,3983,15,0,0
ClevelandCavaliers,7,34,9838,1444,3319,233,702,782,1038,429,1598,815,277,557,151,841,3903,17,0,0
DallasMavericks,28,13,9861,1515,3242,326,897,703,914,356,1660,966,257,525,166,782,4059,22,0,0
DenverNuggets,17,24,9872,1510,3264,320,828,888,1143,391,1653,829,317,610,144,861,4228,28,0,0
DetroitPistons,9,32,9869,1471,3318,233,652,642,902,466,1578,802,302,513,149,807,3817,19,0,0
GSWarriors,10,31,9932,1587,3525,326,861,634,846,490,1688,828,361,617,191,952,4134,12,0,0
HoustonRockets,18,23,9924,1580,3447,362,935,829,1036,470,1693,987,293,551,170,814,4351,14,0,0
IndianaPacers,13,28,9867,1451,3354,291,829,761,985,449,1710,796,295,631,213,922,3954,14,0,0
LAClippers,9,32,9940,1490,3308,260,751,731,1036,466,1691,822,297,646,159,866,3971,23,0,0
LALakers,27,14,9893,1529,3329,260,731,754,977,475,1799,856,283,504,183,762,4072,22,0,0
MemphisGrizzlies,16,25,10016,1541,3430,159,477,736,999,510,1707,841,367,591,199,898,3977,12,0,0
MiamiHeat,28,13,9905,1522,3153,286,744,811,1066,385,1730,859,269,569,198,861,4141,21,0,0
MilwaukeeBucks,13,28,9924,1413,3317,241,696,682,910,426,1618,771,323,503,183,854,3749,9,0,0
MinnesotaT-wolves,5,36,9868,1544,3494,268,751,754,985,550,1797,795,285,712,191,921,4110,12,0,0
NJNets,5,36,9915,1444,3312,203,657,706,921,460,1631,852,220,515,183,926,3797,4,0,0
NOrleansHornets,18,23,9939,1441,3215,221,599,752,957,410,1644,793,308,517,164,892,3855,6,0,0
NYKnicks,19,22,9914,1535,3464,403,1063,829,1020,429,1673,882,312,555,253,899,4302,24,0,0
OrlandoMagic,23,18,9971,1473,3226,405,1073,717,1009,411,1716,799,266,554,183,843,4068,24,0,0
Philadelphia76ers,15,26,10006,1551,3406,199,598,697,916,436,1732,896,313,529,162,824,3998,9,0,0
PhoenixSuns,17,24,9991,1618,3433,343,946,708,916,383,1609,980,271,553,163,847,4287,14,0,0
PortlandTrailBlazers,18,23,9875,1451,3287,261,737,695,881,493,1596,859,313,523,192,825,3858,13,0,0
SacramentoKings,13,28,9954,1589,3496,203,594,723,992,526,1785,869,304,649,183,896,4104,16,0,0
SanAntonioSpurs,25,16,9892,1550,3354,313,839,745,974,439,1714,848,283,523,161,830,4158,4,0,0
OklahomaCityThunder,25,16,10020,1521,3340,235,702,929,1120,464,1763,786,303,544,233,934,4206,17,0,0
TorontoRaptors,6,35,9923,1543,3432,179,550,749,985,501,1683,855,295,587,162,923,4014,12,0,0
UtahJazz,18,23,9892,1502,3273,224,631,784,1028,461,1605,975,309,596,225,955,4012,17,0,0
WashingtonWizards,3,38,9991,1508,3435,195,609,736,993,493,1630,754,321,625,229,970,3947,14,0,0
