AtlantaHawks,17,24,9923,1553,3447,311,901,645,858,440,1801,935,322,596,165,842,4062,9,0,0
BostonCeltics,25,16,9841,1524,3363,269,782,743,966,444,1709,861,313,529,173,776,4060,5,0,0
CharlotteBobcats,16,25,9942,1464,3396,324,901,614,810,371,1722,838,246,513,205,888,3866,11,0,0
ChicagoBulls,14,27,9982,1382,3312,261,749,649,872,435,1706,752,280,557,264,869,3674,13,0,0
ClevelandCavaliers,22,19,10069,1497,3501,372,1070,679,890,427,1761,1017,312,529,240,827,4045,12,0,0
DallasMavericks,15,26,9981,1568,3337,358,946,756,1010,471,1759,880,333,631,135,875,4250,13,0,0
DenverNuggets,19,22,9873,1583,3564,298,845,845,1117,462,1820,909,344,577,231,909,4309,11,0,0
DetroitPistons,24,17,9902,1575,3390,342,920,756,1002,463,1784,958,322,581,180,851,4248,21,0,0
GSWarriors,14,27,9907,1486,3449,279,837,738,978,442,1754,832,318,601,153,786,3989,9,0,0
HoustonRockets,8,33,9946,1563,3647,346,984,637,879,524,1702,874,354,562,222,1039,4109,17,0,0
IndianaPacers,6,35,9870,1376,3403,253,757,605,832,444,1651,701,297,557,225,909,3610,13,0,0
LAClippers,7,34,9873,1507,3466,307,928,779,1035,494,1745,963,303,621,130,993,4100,22,0,0
LALakers,27,14,9845,1700,3652,328,928,700,944,515,1972,1059,396,549,159,778,4428,9,0,0
MemphisGrizzlies,14,27,9926,1463,3252,323,881,688,899,411,1580,771,303,569,207,803,3937,10,0,0
MiamiHeat,9,32,9919,1498,3256,355,985,641,849,444,1608,842,347,643,119,836,3992,11,0,0
MilwaukeeBucks,31,10,9915,1547,3335,351,928,717,974,483,1757,921,332,552,179,828,4162,9,0,0
MinnesotaT-wolves,17,24,9917,1589,3483,320,898,676,887,439,1770,856,315,668,215,991,4174,16,0,0
BrooklynNets,13,28,9890,1453,3238,319,894,766,1015,460,1715,808,314,618,148,876,3991,19,0,0
NOrleansPelicans,19,22,9944,1500,3301,334,923,765,1035,423,1670,904,280,551,261,828,4099,15,0,0
NYKnicks,22,19,9918,1464,3180,355,977,781,1018,413,1701,788,295,626,126,821,4064,14,0,0
OrlandoMagic,22,19,10020,1576,3484,323,883,671,886,435,1760,896,298,563,212,746,4146,13,0,0
Philadelphia76ers,31,10,9972,1670,3515,390,988,792,1054,481,1856,1156,385,657,250,846,4522,9,0,0
PhoenixSuns,15,26,9862,1555,3408,291,839,811,1058,464,1712,775,313,612,148,886,4212,18,0,0
PortlandTrailBlazers,10,31,9917,1618,3625,279,785,640,830,465,1714,847,334,499,128,873,4155,11,0,0
SacramentoKings,24,17,9938,1533,3408,334,922,808,1084,424,1679,942,315,534,212,965,4208,15,0,0
SanAntonioSpurs,9,32,9854,1573,3547,279,755,570,748,428,1710,855,331,508,167,784,3995,8,0,0
OklahomaCityThunder,7,34,9897,1480,3419,362,993,715,1024,458,1643,866,324,608,143,836,4037,16,0,0
TorontoRaptors,15,26,10018,1505,3316,296,796,743,989,403,1625,837,305,592,166,934,4049,17,0,0
UtahJazz,25,16,9888,1535,3329,300,841,748,954,411,1706,827,294,465,162,830,4118,4,0,0
WashingtonWizards,19,22,10016,1515,3312,307,881,693,899,392,1698,880,316,632,170,813,4030,5,0,0
