AtlantaHawks,46,32,18869,3018,6591,767,2202,1225,1560,649,3276,2001,714,1125,454,1490,8028,8,0,0
BostonCeltics,45,32,18600,3025,6888,677,2028,1409,1789,905,3483,1859,713,1047,322,1695,8136,20,0,0
CharlotteHornets,44,33,18672,2837,6501,810,2254,1442,1828,692,3388,1657,553,917,409,1397,7926,11,0,0
ChicagoBulls,39,39,18950,3007,6842,615,1668,1267,1618,861,3622,1777,468,1043,446,1478,7896,12,0,0
ClevelandCavaliers,56,22,18885,3014,6551,835,2310,1262,1696,837,3485,1784,526,1006,298,1592,8125,12,0,0
DallasMavericks,39,38,18797,2904,6529,753,2176,1353,1702,708,3321,1719,523,947,285,1490,7914,21,0,0
DenverNuggets,32,47,19132,2981,6742,637,1871,1471,1918,906,3517,1795,584,1120,375,1662,8070,15,0,0
DetroitPistons,41,37,18895,2965,6756,694,2036,1312,1977,975,3615,1514,545,1011,281,1491,7936,27,0,0
GSWarriors,69,9,18919,3325,6824,1025,2457,1317,1732,783,3598,2266,663,1163,475,1633,8992,20,0,0
HoustonRockets,38,39,18638,2873,6414,816,2372,1599,2298,875,3318,1685,768,1173,396,1696,8161,29,0,0
IndianaPacers,41,36,18699,2932,6566,611,1758,1353,1773,795,3409,1606,697,1103,374,1543,7828,11,0,0
LAClippers,49,28,18608,2944,6345,747,2062,1422,2047,684,3230,1755,655,960,429,1648,8057,33,0,0
LALakers,16,61,18534,2709,6538,599,1884,1492,1920,830,3308,1389,554,997,324,1571,7509,7,0,0
MemphisGrizzlies,42,36,18888,2870,6492,477,1434,1529,1952,858,3239,1620,691,992,343,1698,7746,21,0,0
MiamiHeat,45,32,18632,2942,6262,471,1384,1329,1788,743,3394,1618,517,1029,506,1401,7684,15,0,0
MilwaukeeBucks,32,46,18860,2986,6403,416,1199,1326,1778,825,3239,1798,637,1125,453,1614,7714,21,0,0
MinnesotaT-wolves,26,52,18927,2924,6334,421,1264,1669,2101,780,3245,1801,611,1126,353,1621,7938,12,0,0
BrooklynNets,21,56,18570,2940,6459,480,1372,1215,1596,808,3277,1705,582,1117,301,1384,7575,10,0,0
NOrleansPelicans,29,48,18558,2950,6604,652,1824,1322,1707,732,3287,1681,599,994,332,1597,7874,13,0,0
NYKnicks,31,47,18817,2868,6538,579,1672,1351,1676,807,3449,1594,444,986,441,1543,7666,14,0,0
OrlandoMagic,33,44,18708,3036,6690,605,1721,1170,1537,802,3357,1817,631,1055,385,1608,7847,11,0,0
Philadelphia76ers,10,68,18825,2827,6540,705,2101,1216,1746,739,3228,1663,643,1230,471,1695,7575,6,0,0
PhoenixSuns,20,58,18737,2877,6640,704,2013,1351,1806,876,3465,1595,596,1286,294,1769,7809,19,0,0
PortlandTrailBlazers,42,37,19096,3045,6789,829,2245,1371,1825,916,3609,1678,538,1107,360,1720,8290,12,0,0
SacramentoKings,31,47,18859,3129,6725,624,1736,1461,2007,816,3451,1922,689,1209,342,1594,8343,25,0,0
SanAntonioSpurs,65,12,18486,3108,6383,547,1433,1244,1544,721,3387,1902,631,969,461,1351,8007,4,0,0
OklahomaCityThunder,54,24,18876,3213,6726,638,1830,1537,1956,1006,3780,1796,573,1199,464,1603,8601,29,0,0
TorontoRaptors,52,25,18599,2811,6251,660,1787,1624,2079,784,3329,1431,603,939,419,1524,7906,19,0,0
UtahJazz,39,39,18965,2811,6271,653,1829,1348,1808,846,3372,1473,601,1112,402,1592,7623,8,0,0
WashingtonWizards,37,40,18559,3022,6595,668,1861,1260,1724,692,3196,1871,667,1071,301,1603,7972,13,0,0
