AtlantaHawks,36,46,19730,3044,6419,479,1329,1392,1865,1054,3346,1841,580,1347,337,1807,7959
BostonCeltics,49,33,19905,3296,6857,415,1163,1767,2366,1038,3620,1916,667,1287,489,1963,8774
CharlotteHornets,41,41,19880,3254,6651,530,1340,1440,1957,953,3311,2049,536,1171,366,1829,8478
ChicagoBulls,10,72,19730,2880,6426,437,1249,1424,1983,981,3117,1592,595,1347,311,1855,7621
ClevelandCavaliers,35,47,19830,2674,5787,513,1322,1400,1844,874,3041,1818,504,1243,336,1666,7261
DallasMavericks,56,26,19930,3403,6923,470,1193,1535,2097,1087,3813,1978,702,1314,531,1841,8811
DenverNuggets,47,35,19830,3091,6738,453,1235,1600,2105,934,3319,1878,617,1077,418,1899,8235
DetroitPistons,36,46,19830,2827,6375,505,1380,1458,2039,964,3232,1729,556,1103,384,1887,7617
GSWarriors,46,36,19750,3206,6751,477,1306,1564,2100,1113,3404,2095,695,1324,381,1959,8453
HoustonRockets,34,48,19805,3178,6910,482,1344,1423,2012,1126,3625,1945,671,1184,408,1847,8261
IndianaPacers,30,52,19755,2841,6291,493,1367,1703,2302,1004,3059,1727,663,1192,420,2041,7878
LAClippers,53,29,19730,3090,6471,444,1195,1824,2444,1034,3396,1658,689,1322,401,1858,8448
LALakers,29,53,19680,3118,6806,436,1180,1395,1891,1143,3464,2006,588,1280,482,1806,8073
MiamiHeat,40,42,19780,2734,6304,446,1233,1878,2498,983,3297,1645,662,1232,402,2031,7792
MilwaukeeBucks,57,25,19730,3084,6413,514,1293,1588,2191,993,3299,1937,648,1171,373,1752,8272
MinnesotaT-wolves,56,26,19780,3086,6586,530,1390,1761,2368,1033,3343,1966,725,1302,498,1940,8463
NJNets,52,30,19905,3006,6625,543,1415,1476,1994,1028,3383,1876,665,1221,516,1925,8031
NYKnicks,35,47,19830,2859,6470,441,1307,1621,2191,995,3420,1671,653,1234,281,1762,7781
OrlandoMagic,22,60,19855,3060,6736,496,1357,1499,2037,1087,3452,1869,644,1175,322,1827,8115
Philadelphia76ers,64,18,19730,3284,6796,526,1421,1472,1986,1164,3642,2099,724,1249,468,1911,8566
PhoenixSuns,41,41,19955,3217,6837,551,1491,1540,2083,1003,3385,2088,586,1154,420,2011,8525
PortlandTrailBlazers,38,44,19905,2953,6677,472,1355,1574,2127,932,3248,1817,708,1157,409,1994,7952
SacramentoKings,43,39,19755,2987,6461,458,1203,1950,2596,1057,3368,1805,767,1318,504,2006,8385
SanAntonioSpurs,23,59,19780,3017,6866,441,1337,1485,2034,1109,3582,1849,604,1206,427,1972,7960
SeattleSupersonics,18,64,19880,2873,6552,533,1529,1654,2307,1076,3329,1776,758,1434,392,2010,7933
TorontoRaptors,61,21,19830,3146,6626,519,1416,1799,2415,1098,3372,1990,766,1284,481,1738,8610
UtahJazz,27,55,19780,2747,6174,549,1428,1820,2421,936,3085,1640,584,1241,409,1983,7864
VancouverGrizzlies,67,15,19880,3080,6486,459,1224,1561,2129,1102,3652,1988,698,1390,473,1785,8180
WashingtonBullets,43,39,19805,3061,6648,376,1101,1822,2378,1105,3472,1690,695,1308,390,1891,8321
