AtlantaHawks,19,31,12075,1598,3883,190,634,784,1076,581,1950,895,379,630,243,1203,4170,19,1,2
BostonCeltics,31,19,12150,1725,3896,175,561,1118,1506,642,2186,1018,461,791,253,1001,4743,17,0,1
CharlotteHornets,24,26,12150,1739,4003,212,637,959,1306,655,2146,1092,443,728,232,1152,4649,18,1,4
ChicagoBulls,37,13,12075,1723,3786,208,612,914,1247,551,2119,1099,444,753,285,1076,4568,19,2,2
ClevelandCavaliers,28,22,12050,1597,3664,236,675,978,1316,592,1997,1055,392,790,282,1198,4408,21,1,1
DallasMavericks,31,19,12075,1815,4037,216,686,855,1193,660,2179,1073,361,663,244,1042,4701,21,3,2
DenverNuggets,36,14,12025,1885,4017,237,640,997,1339,620,2122,1175,396,667,268,1103,5004,20,1,0
DetroitPistons,21,29,12050,1585,3639,236,682,941,1317,548,1926,1043,424,748,225,1113,4347,13,2,3
GSWarriors,29,21,12125,1617,3848,193,575,1114,1531,656,2159,1023,400,705,305,1027,4541,23,2,1
HoustonRockets,19,31,12075,1793,4136,230,645,779,1062,664,2055,1034,441,631,245,1030,4595,19,3,0
IndianaPacers,17,33,12100,1706,3935,206,634,928,1227,626,2052,955,357,623,238,1127,4546,15,3,1
LAClippers,41,9,12125,1830,3858,222,627,1078,1445,640,2146,1101,419,764,289,1042,4960,23,2,2
LALakers,19,31,12050,1759,3992,217,653,1064,1501,628,2031,1062,408,684,196,1272,4799,23,2,4
MiamiHeat,17,33,12025,1565,3804,211,606,860,1167,618,1960,853,388,642,188,1102,4201,21,3,3
MilwaukeeBucks,22,28,12050,1600,3746,272,814,1029,1369,658,2055,1018,399,786,194,1020,4501,15,1,1
MinnesotaT-wolves,25,25,12025,1680,3823,213,654,1055,1470,591,2154,1114,363,795,262,1017,4628,11,1,3
NJNets,34,16,12050,1796,3968,223,654,943,1298,624,2201,968,395,780,326,1084,4758,24,2,5
NYKnicks,23,27,12100,1528,3790,234,662,979,1335,616,2042,923,425,725,215,1035,4269,13,3,4
OrlandoMagic,17,33,12050,1708,3856,230,667,697,986,595,2019,1039,468,828,233,1112,4343,24,2,3
Philadelphia76ers,22,28,12150,1599,3784,241,716,941,1288,619,2021,999,435,856,263,1185,4380,18,1,2
PhoenixSuns,23,27,12050,1772,3936,272,755,850,1224,615,2125,1064,410,779,205,1065,4666,20,1,2
PortlandTrailBlazers,15,35,12175,1644,3938,220,691,916,1263,616,2004,962,411,755,240,1142,4424,26,3,0
SacramentoKings,23,27,12200,2009,4498,219,652,793,1113,750,2348,1165,490,759,221,1102,5030,33,3,4
SanAntonioSpurs,13,37,12075,1631,4061,170,559,805,1148,696,2103,941,437,695,243,1149,4237,14,1,4
SeattleSupersonics,25,25,12100,1838,4026,264,765,857,1187,652,2098,1111,399,705,224,1165,4797,21,2,2
TorontoRaptors,27,23,12075,1694,3855,255,686,996,1368,614,2007,1095,446,735,258,1088,4639,18,1,2
UtahJazz,13,37,12175,1595,3863,214,666,936,1299,636,1930,904,431,714,264,1311,4340,35,4,7
VancouverGrizzlies,42,8,12175,1813,3917,229,653,1021,1400,673,2129,1189,490,756,327,1164,4876,25,5,2
WashingtonWizards,32,18,12050,1705,3826,218,619,1044,1418,617,2134,1079,402,752,212,1087,4672,10,1,2
