AtlantaHawks,49,33,19780,3065,6674,472,1329,1456,1956,1003,3525,1856,703,1177,508,1647,8058,18,1,3
BostonCeltics,33,49,19830,2797,6578,514,1511,1612,2091,956,3760,1802,623,1284,474,1733,7720,26,1,0
CharlotteHornets,38,44,19755,2850,6594,433,1156,1488,1938,963,3362,1639,625,1074,426,1702,7621,44,3,3
ChicagoBulls,61,21,19805,3027,6514,421,1176,1560,2090,944,3497,2066,681,1122,399,1716,8035,35,4,5
ClevelandCavaliers,53,29,19855,3053,6678,473,1200,1506,2014,928,3310,1989,602,1018,459,1638,8085,28,1,4
DallasMavericks,25,57,19880,3094,6851,452,1293,1640,2184,1065,3665,1865,589,1121,377,1784,8280,61,6,10
DenverNuggets,55,27,19805,3005,6540,424,1173,1602,2144,995,3524,1968,671,1122,561,1645,8036,42,2,8
DetroitPistons,32,50,19680,2926,6544,359,993,1349,1787,991,3502,1637,651,1207,334,1872,7560,40,4,3
GSWarriors,61,21,19780,3213,6993,404,1162,1622,2125,1100,3551,2002,706,1132,516,1946,8452,53,4,8
HoustonRockets,54,28,19980,3191,6875,370,1028,1221,1623,1045,3552,1838,576,949,414,1647,7973,30,3,0
IndianaPacers,40,42,19905,2977,6800,418,1200,1544,2062,1048,3562,1771,618,1120,465,1855,7916,46,3,3
LAClippers,43,39,19805,3074,6866,407,1145,1329,1783,1064,3443,1859,612,1009,439,1775,7884,31,2,4
LALakers,24,58,19780,2872,6777,399,1259,1577,2072,1017,3542,1643,586,1100,352,1888,7720,39,5,6
MiamiHeat,46,36,19930,2666,6279,379,1109,1565,2127,894,3378,1461,620,1073,353,1707,7276,39,2,5
MilwaukeeBucks,41,41,19905,3016,6846,493,1377,1489,1967,1052,3489,1884,599,993,361,1641,8014,34,3,9
MinnesotaT-wolves,32,50,19805,2962,6654,492,1321,1452,1958,912,3238,1855,542,1036,407,1674,7868,32,2,9
NJNets,30,52,19830,2858,6668,409,1175,1423,1890,999,3516,1563,669,1243,440,1668,7548,36,4,11
NYKnicks,52,30,19805,2924,6570,443,1256,1550,2047,959,3499,1762,686,1059,385,1668,7841,36,4,5
OrlandoMagic,38,44,19830,3116,6830,409,1161,1470,1994,1087,3720,1929,658,1241,383,1737,8111,35,4,9
Philadelphia76ers,39,43,19730,2771,6500,438,1322,1350,1798,981,3329,1767,654,1146,458,1826,7330,38,1,7
PhoenixSuns,46,36,19830,2957,6663,433,1208,1511,2013,1028,3521,1821,685,1200,474,1520,7858,30,1,5
PortlandTrailBlazers,33,49,19830,2951,6508,466,1285,1312,1771,890,3218,1945,613,1147,409,1650,7680,40,2,1
SacramentoKings,21,61,19755,3128,7108,386,1145,1312,1764,1065,3682,1839,633,1197,387,1826,7954,43,4,2
SanAntonioSpurs,24,58,19855,2883,6775,374,1108,1283,1651,1003,3432,1543,635,1128,427,1893,7423,47,2,8
SeattleSupersonics,37,45,19830,2966,6605,472,1374,1362,1844,1091,3417,1832,568,1205,400,1627,7766,38,3,4
TorontoRaptors,40,42,19755,2820,6390,377,1089,1513,2011,995,3432,1629,628,1191,383,1613,7530,54,5,6
UtahJazz,38,44,19830,2777,6216,465,1215,1779,2308,928,3133,1585,747,1328,543,2070,7798,48,6,8
MemphisGrizzlies,59,23,19780,3119,6830,398,1112,1346,1788,1135,3693,1960,781,1164,455,1783,7982,24,0,2
WashingtonWizards,45,37,19730,2953,6534,422,1191,1396,1849,960,3336,1818,574,1062,414,1711,7724,30,4,9
