AtlantaHawks,31,10,9940,1531,3417,241,665,776,1010,552,1836,970,384,538,236,819,4079,14,1,0
BostonCeltics,24,17,9865,1453,3269,268,738,826,1106,544,1831,974,358,693,198,931,4000,19,1,2
NOrleansHornets,25,16,9890,1436,3209,225,650,742,977,488,1734,892,324,579,225,869,3839,11,1,0
ChicagoBulls,32,9,9915,1509,3322,208,609,809,1072,485,1809,983,347,587,223,847,4035,11,0,2
ClevelandCavaliers,29,12,9915,1487,3383,213,569,768,1025,510,1753,893,341,514,214,806,3955,13,1,2
DallasMavericks,25,16,9915,1592,3403,291,735,752,1016,492,1820,1039,304,598,212,848,4227,20,2,5
DenverNuggets,27,14,9840,1532,3265,187,512,789,1078,502,1729,947,319,617,246,889,4040,28,4,1
DetroitPistons,18,23,9940,1331,3182,172,566,659,873,497,1703,774,311,614,216,918,3493,21,0,1
GSWarriors,31,10,9890,1528,3347,222,551,670,894,495,1802,959,346,528,226,835,3948,8,0,2
HoustonRockets,23,18,9940,1326,3206,237,618,788,1069,476,1683,867,345,502,176,853,3677,14,1,0
IndianaPacers,14,27,9940,1382,3139,165,498,717,954,441,1640,835,292,593,233,891,3646,17,2,2
LAClippers,31,10,9890,1561,3374,231,622,770,1054,541,1726,935,359,510,224,909,4123,21,1,0
LALakers,19,22,9965,1530,3314,237,625,758,998,457,1782,893,286,565,161,988,4055,22,2,1
MiamiHeat,28,13,9840,1335,3070,214,604,866,1131,457,1727,854,281,560,234,854,3750,15,0,1
MilwaukeeBucks,27,14,9865,1525,3376,215,638,713,972,497,1822,951,320,564,229,891,3978,20,0,3
MinnesotaT-wolves,14,27,9890,1402,3323,203,598,710,967,530,1754,822,287,550,169,835,3717,17,3,3
NJNets,22,19,9865,1381,3151,218,584,706,943,454,1760,837,296,593,178,847,3686,10,1,1
NYKnicks,25,16,9940,1434,3261,198,600,784,1045,503,1745,919,318,552,231,779,3850,13,0,1
OrlandoMagic,31,10,9890,1603,3450,263,681,719,984,572,1907,1078,308,524,240,837,4188,14,0,1
Philadelphia76ers,29,12,9940,1432,3239,214,666,751,1010,524,1740,900,346,590,271,891,3829,10,1,0
PhoenixSuns,30,11,9865,1492,3343,247,683,844,1089,544,1843,970,335,615,234,773,4075,9,0,0
PortlandTrailBlazers,25,16,9965,1488,3337,203,621,622,833,541,1705,923,347,503,204,740,3801,9,0,1
SacramentoKings,20,21,9890,1611,3482,219,607,674,893,547,1875,974,327,575,195,896,4115,15,2,3
SanAntonioSpurs,17,24,9840,1311,3220,167,510,720,976,475,1738,754,330,574,217,920,3509,20,1,1
SeattleSupersonics,25,16,9915,1496,3323,244,716,841,1078,547,1778,908,322,574,204,830,4077,18,1,1
TorontoRaptors,26,15,10015,1361,3196,145,448,776,1053,538,1911,795,301,570,181,843,3643,24,1,0
UtahJazz,27,14,9890,1292,2914,202,587,1025,1321,441,1538,810,342,597,274,975,3811,23,0,1
MemphisGrizzlies,22,19,10015,1470,3302,189,563,862,1120,554,1818,854,341,638,228,905,3991,14,0,4
WashingtonWizards,33,8,9915,1550,3427,212,599,739,970,576,1859,1023,399,621,237,882,4051,8,0,0
