AtlantaHawks,12,29,9920,1371,3143,164,492,812,1075,474,1595,735,275,642,217,1007,3718,10,0,0
BostonCeltics,12,29,9897,1422,3210,226,629,857,1122,454,1647,761,299,657,189,1050,3927,10,0,0
CharlotteBobcats,13,28,10022,1484,3315,213,629,765,1045,440,1597,905,318,607,169,1000,3946,17,0,0
ChicagoBulls,18,23,9920,1495,3320,261,638,750,1039,477,1742,867,306,671,191,1009,4001,14,0,0
ClevelandCavaliers,20,21,9950,1460,3312,226,694,778,1096,513,1741,799,311,550,139,924,3924,9,0,0
DallasMavericks,31,10,9851,1469,3211,247,691,807,999,451,1697,780,272,535,191,940,3992,19,0,0
DenverNuggets,22,19,9889,1565,3362,255,730,884,1167,488,1746,903,357,677,194,862,4269,21,0,0
DetroitPistons,27,14,9968,1470,3244,212,641,752,983,476,1687,840,305,490,223,834,3904,32,0,0
GSWarriors,12,29,9850,1578,3540,345,1007,724,987,470,1661,861,363,665,197,965,4225,11,0,0
HoustonRockets,24,17,9979,1439,3273,337,915,747,968,427,1775,828,291,566,174,894,3962,19,0,0
IndianaPacers,13,28,9844,1399,3256,235,682,778,1041,482,1671,806,275,663,210,962,3811,22,0,0
LAClippers,15,26,9886,1435,3183,175,458,804,1023,457,1683,816,287,600,181,941,3849,15,0,0
LALakers,17,24,9997,1502,3297,284,865,829,1078,424,1617,810,303,590,198,970,4117,21,0,0
MemphisGrizzlies,8,33,9946,1449,3187,229,633,878,1157,431,1613,833,263,657,192,899,4005,11,0,0
MiamiHeat,17,24,9980,1440,3214,283,818,711,1004,415,1705,893,276,569,200,918,3874,21,0,0
MilwaukeeBucks,10,31,9944,1540,3408,246,735,693,952,487,1612,813,312,605,113,929,4019,14,0,0
MinnesotaT-wolves,12,29,9995,1474,3208,198,558,715,907,404,1605,887,273,633,157,878,3861,12,0,0
NJNets,17,24,9926,1450,3175,288,811,736,1021,390,1622,919,255,563,135,919,3924,17,0,0
NOrleansHornets,15,26,9838,1467,3289,221,636,738,989,503,1724,751,251,606,164,837,3893,27,0,0
NYKnicks,14,27,10020,1441,3167,238,656,790,1120,498,1743,750,272,689,124,972,3910,23,0,0
OrlandoMagic,15,26,9920,1457,3100,178,485,769,1116,452,1643,776,273,643,215,962,3861,12,0,0
Philadelphia76ers,14,27,9960,1493,3239,136,409,788,1041,447,1549,805,302,584,200,874,3910,7,0,0
PhoenixSuns,28,13,10023,1705,3446,399,975,729,918,356,1611,1104,295,593,170,869,4538,17,0,0
PortlandTrailBlazers,14,27,10038,1407,3175,205,605,772,1018,457,1599,712,270,614,197,988,3791,14,0,0
SacramentoKings,13,28,9868,1441,3275,250,727,920,1209,403,1571,840,372,593,125,898,4052,19,0,0
SanAntonioSpurs,27,14,9893,1491,3157,322,819,737,942,359,1619,900,292,522,199,809,4041,12,0,0
SeattleSupersonics,11,30,9962,1539,3327,271,743,703,891,452,1609,835,293,584,147,891,4052,12,0,0
TorontoRaptors,17,24,9889,1469,3279,239,731,789,989,360,1583,856,292,547,143,868,3966,7,0,0
UtahJazz,20,21,9898,1484,3246,181,562,884,1204,518,1717,967,295,640,151,1039,4033,7,0,0
WashingtonWizards,15,26,9919,1502,3397,283,808,942,1230,488,1699,783,313,535,173,934,4229,15,0,0
