AtlantaHawks,25,14,9463,1546,3314,391,1115,551,702,313,1625,1059,369,560,237,745,4034,5,0,0
BostonCeltics,25,12,8958,1463,3366,316,962,680,871,440,1725,917,333,493,191,786,3922,9,0,0
CharlotteHornets,28,11,9468,1449,3284,410,1134,786,992,345,1767,884,267,461,255,707,4094,6,0,0
ChicagoBulls,24,15,9514,1506,3440,299,826,644,824,441,1899,936,224,496,263,708,3955,7,0,0
ClevelandCavaliers,32,7,9367,1542,3292,415,1133,654,868,440,1747,978,273,497,160,782,4153,5,0,0
DallasMavericks,21,17,9318,1456,3216,363,1036,720,883,368,1657,850,288,475,122,717,3995,10,0,0
DenverNuggets,17,22,9444,1464,3295,313,922,823,1065,428,1732,887,282,552,195,852,4064,9,0,0
DetroitPistons,25,14,9442,1526,3391,352,998,698,1006,494,1856,820,269,495,150,741,4102,11,0,0
GSWarriors,37,2,9452,1675,3411,503,1217,677,867,411,1836,1150,334,569,238,808,4530,7,0,0
HoustonRockets,21,17,9197,1413,3158,398,1151,772,1100,414,1657,847,355,577,225,821,3996,16,0,0
IndianaPacers,23,15,9200,1454,3236,293,856,664,879,390,1689,777,341,524,185,702,3865,6,0,0
LAClippers,27,12,9416,1504,3235,377,1039,704,1004,370,1709,913,322,509,223,818,4089,15,0,0
LALakers,11,28,9382,1366,3311,278,932,777,991,424,1711,745,275,483,173,782,3787,3,0,0
MemphisGrizzlies,26,14,9731,1484,3338,265,739,844,1066,463,1672,841,355,500,183,869,4077,11,0,0
MiamiHeat,26,13,9437,1517,3151,247,717,727,988,378,1713,797,275,498,255,735,4008,10,0,0
MilwaukeeBucks,23,17,9677,1556,3313,213,599,718,962,422,1656,966,351,553,244,804,4043,7,0,0
MinnesotaT-wolves,13,26,9381,1429,3116,199,595,856,1090,396,1619,878,279,553,176,776,3913,6,0,0
BrooklynNets,14,25,9391,1492,3211,265,724,600,794,394,1640,879,283,584,148,702,3849,3,0,0
NOrleansPelicans,20,18,9143,1497,3280,358,918,662,853,373,1620,895,310,460,182,769,4014,6,0,0
NYKnicks,18,21,9480,1457,3314,280,833,672,815,409,1748,797,214,487,221,744,3866,4,0,0
OrlandoMagic,21,17,9273,1523,3327,319,876,597,789,414,1693,938,320,524,194,783,3962,5,0,0
Philadelphia76ers,7,32,9410,1424,3256,357,1039,606,898,377,1606,869,326,616,225,821,3811,4,0,0
PhoenixSuns,13,26,9350,1469,3337,373,1028,699,935,463,1779,799,313,636,149,881,4010,12,0,0
PortlandTrailBlazers,26,12,9174,1517,3296,412,1089,652,871,454,1784,878,272,523,174,776,4098,6,0,0
SacramentoKings,17,22,9419,1559,3332,315,867,766,1053,408,1719,938,328,617,155,774,4199,14,0,0
SanAntonioSpurs,39,0,9363,1594,3240,292,752,643,799,371,1750,1012,320,473,236,676,4123,1,0,0
OklahomaCityThunder,31,9,9667,1650,3447,311,927,768,990,518,1924,938,323,624,247,779,4379,20,0,0
TorontoRaptors,30,9,9391,1442,3165,342,904,844,1093,397,1687,728,292,463,201,766,4070,10,0,0
UtahJazz,24,15,9485,1395,3069,346,956,714,972,393,1725,677,311,558,207,769,3850,5,0,0
WashingtonWizards,19,19,9166,1504,3251,335,913,661,890,337,1578,946,343,517,143,770,4004,8,0,0
