AtlantaHawks,25,57,19755,3163,6954,275,872,1285,1732,1157,3515,1897,641,1426,338,1724,7886
BostonCeltics,50,32,19905,3357,7034,231,665,1673,2218,1131,3639,2089,686,1239,414,1738,8618
CharlotteHornets,41,41,19830,3463,7359,317,916,1507,2036,1218,3684,2116,629,1237,430,1759,8750
ChicagoBulls,27,55,19780,3029,6543,252,780,1470,1987,986,3225,1830,730,1304,374,1726,7780
ClevelandCavaliers,35,47,19855,3131,6741,258,729,1446,1967,1059,3394,2006,629,1252,461,1797,7966
DallasMavericks,69,13,19730,3212,6508,249,687,1841,2498,1102,3604,1970,782,1414,507,1649,8514
DenverNuggets,40,42,19755,3065,7000,208,717,1761,2349,1117,3449,1745,725,1211,501,1957,8099
DetroitPistons,62,20,19730,3255,6878,272,814,1805,2451,1191,3781,2097,720,1143,368,1602,8587
GSWarriors,32,50,19780,3428,7324,305,867,1540,2108,1324,3732,2184,842,1409,408,1870,8701
HoustonRockets,24,58,19780,3152,7165,257,841,1377,1871,1142,3572,1901,767,1188,312,1743,7938
IndianaPacers,35,47,19755,2978,6614,273,815,1768,2422,1132,3285,1902,826,1298,389,1986,7997
LAClippers,55,27,21880,3512,7421,308,882,1584,2209,1348,3916,2220,901,1323,477,1788,8916
LALakers,49,33,19755,3337,7008,228,723,1683,2346,1284,3817,2163,664,1308,427,1659,8585
MiamiHeat,40,42,19805,3036,6641,295,892,1889,2527,1074,3340,1821,689,1274,437,1946,8256
MilwaukeeBucks,62,20,19705,3255,6625,286,789,1684,2284,1086,3581,2092,768,1383,420,1777,8480
MinnesotaT-wolves,62,20,19730,3244,6875,227,738,1783,2451,1102,3398,2108,824,1142,549,1853,8498
NJNets,37,45,19830,3266,7125,235,739,1514,2038,1142,3670,1919,715,1220,582,1901,8281
NYKnicks,25,57,19755,2783,6451,253,825,1684,2341,1016,3261,1677,677,1363,333,1897,7503
OrlandoMagic,32,50,19730,3263,7125,296,846,1525,2047,1197,3502,2103,756,1207,442,1844,8347
Philadelphia76ers,57,25,19805,3549,7338,263,795,1297,1744,1202,3809,2357,806,1168,385,1729,8658
PhoenixSuns,26,56,19705,3383,7135,283,863,1438,1998,1086,3333,2154,747,1213,437,1870,8479
PortlandTrailBlazers,35,47,19755,3311,7057,296,830,1661,2216,1016,3497,2094,654,1341,393,1944,8579
SacramentoKings,54,28,19755,3360,7012,277,770,1767,2448,1189,3763,2052,748,1300,500,1895,8764
SanAntonioSpurs,27,55,19780,3066,6880,290,871,1349,1875,1089,3242,1769,632,983,344,1791,7771
SeattleSupersonics,19,63,19730,2928,6459,326,946,1760,2374,1084,3275,1808,694,1591,421,1884,7942
UtahJazz,29,53,19830,2973,6641,289,967,1773,2445,1100,3427,1806,588,1286,459,1922,8008
WashingtonBullets,58,24,19705,3569,7026,252,722,1444,1996,1119,3481,2113,815,1264,470,1823,8834
